method	gene	split	cohort	n	called	correct	accuracy_all	call_rate	accuracy_called	unseen_alleles	majority_accuracy
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	ALL	724	681	595	0.8218232044198895	0.9406077348066298	0.8737151248164464	15	0.08839779005524862
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	APR	104	100	88	0.8461538461538461	0.9615384615384616	0.88	6	0.10576923076923077
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	CPC-Chinese	103	98	88	0.8543689320388349	0.9514563106796117	0.8979591836734694	2	0.06796116504854369
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	HPRC-EastAsian	70	69	59	0.8428571428571429	0.9857142857142858	0.855072463768116	1	0.02857142857142857
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	HPRC-Japanese	32	31	29	0.90625	0.96875	0.9354838709677419	0	0.03125
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	HPRC-Jewish	2	2	2	1.0	1.0	1.0	0	0.0
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	HPRC-Rest	360	333	286	0.7944444444444444	0.925	0.8588588588588588	6	0.10277777777777777
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	JaSaPaGe-Japanese	10	9	8	0.8	0.9	0.8888888888888888	0	0.1
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	JaSaPaGe-Saudi	18	16	14	0.7777777777777778	0.8888888888888888	0.875	0	0.1111111111111111
classII_bundle_presence_transductive	HLA-DRB1	leave_family_out	KPanRef-Korean	25	23	21	0.84	0.92	0.9130434782608695	0	0.12
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	ALL	740	736	728	0.9837837837837838	0.9945945945945946	0.9891304347826086	5	0.1972972972972973
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	APR	106	103	103	0.9716981132075472	0.9716981132075472	1.0	0	0.2641509433962264
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	CPC-Chinese	114	114	110	0.9649122807017544	1.0	0.9649122807017544	3	0.15789473684210525
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	HPRC-EastAsian	70	69	69	0.9857142857142858	0.9857142857142858	1.0	0	0.18571428571428572
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	HPRC-Japanese	32	32	31	0.96875	1.0	0.96875	0	0.1875
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	HPRC-Jewish	2	2	2	1.0	1.0	1.0	0	0.0
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	HPRC-Rest	360	360	357	0.9916666666666667	1.0	0.9916666666666667	2	0.20555555555555555
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	JaSaPaGe-Japanese	10	10	10	1.0	1.0	1.0	0	0.2
gene_flanks_31mer_fixed	HLA-DQA1	leave_cohort_out	JaSaPaGe-Saudi	18	18	18	1.0	1.0	1.0	0	0.05555555555555555
