donor	features	compatible_pairs	predicted_pair	truth_pair	pair_correct	status
NA18967	1	85		RCCX-STRUCT-80c1563b57f16898;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA18970	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA18971	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA18976	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA18982	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-109f6cb2c3c027c8	0	ambiguous
NA18983	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA18990	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA19036	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA19043	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA19066	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-109f6cb2c3c027c8	0	ambiguous
NA19079	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-b8ca310d36f0396c	0	ambiguous
NA19087	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA19088	1	219		RCCX-STRUCT-4c34865fcf2a50f9;RCCX-STRUCT-772019bbe8032c14	0	ambiguous
NA19185	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-b8ca310d36f0396c	0	ambiguous
NA19338	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA19391	1	85		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
NA19443	1	85		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
NA19468	1	85		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-a002f576cdda62b4	0	ambiguous
NA19682	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA19700	1	85		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
NA19776	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA19835	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA19909	1	218		RCCX-STRUCT-b8ca310d36f0396c;RCCX-STRUCT-b8ca310d36f0396c	0	ambiguous
NA20282	1	236		RCCX-STRUCT-0c843ef37c4c8a9d;RCCX-STRUCT-b8ca310d36f0396c	0	ambiguous
NA20346	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA20503	1	218		RCCX-STRUCT-109f6cb2c3c027c8;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA20752	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-109f6cb2c3c027c8	0	ambiguous
NA20762	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA20799	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA20805	1	85		RCCX-STRUCT-80c1563b57f16898;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA20806	1	218		RCCX-STRUCT-684f24a39886a3ee;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA20809	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA20827	1	85		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
NA20850	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA20870	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA20905	1	85		RCCX-STRUCT-109f6cb2c3c027c8;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
NA21093	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA21102	1	236		RCCX-STRUCT-804d53b600bb619f;RCCX-STRUCT-f3965b9e0fe6783a	0	ambiguous
NA21110	1	218		RCCX-STRUCT-109f6cb2c3c027c8;RCCX-STRUCT-c91a117646c15232	0	ambiguous
