hap_id	gene	retained_donor	annotated_sequence_copies	typing_common_methods_eligible	typing_exclusion_reasons	strict_structural_screen_eligible	all_classical_matched_comparison_eligible	source_type	panel_flags
HG00097#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00097#1	HLA-DRB5	1	1	1		1	1	assembly_or_reference	
HG00097#2	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-DRB3	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00097#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss
HG00099#1	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-DRB3	1	1	1		1	1	assembly_or_reference	
HG00099#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00099#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00099#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-DRB3	1	1	1		1	1	assembly_or_reference	
HG00099#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00099#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00126#1	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-DRB3	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00126#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00126#2	HLA-DRB4	1	1	1		1	1	assembly_or_reference	
HG00126#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00128#1	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00128#1	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00128#1	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00128#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00128#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00128#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00128#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00128#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00128#1	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00128#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00128#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00128#2	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-DRB3	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00128#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-DRB3	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00133#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00133#2	HLA-DRB4	1	1	1		1	1	assembly_or_reference	
HG00133#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00140#1	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00140#1	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00140#1	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00140#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00140#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00140#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00140#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00140#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00140#1	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00140#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00140#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00140#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-DRB3	1	1	1		1	1	assembly_or_reference	
HG00140#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00140#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00146#1	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-DRB3	1	1	1		1	1	assembly_or_reference	
HG00146#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00146#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00146#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00146#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00146#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00146#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00146#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00146#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00146#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00146#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00146#2	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00146#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00146#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00232#1	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00232#1	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00232#1	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00232#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00232#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00232#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00232#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00232#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00232#1	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00232#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00232#1	HLA-DRB5	1	1	1		1	1	assembly_or_reference	
HG00232#2	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-DRB3	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00232#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-DRB4	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-DRB4	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00235#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-DRB3	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00253#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00253#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00253#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00253#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00253#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00253#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00253#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00253#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00253#2	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00253#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00253#2	HLA-DRB5	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-DRB3	1	1	1		1	1	assembly_or_reference	
HG00272#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00272#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00272#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-DRB3	1	1	1		1	1	assembly_or_reference	
HG00272#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00272#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00280#1	HLA-A	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-B	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-C	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-DRB3	1	1	1		1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	DR_DQ_candidate_novel_annotation
HG00280#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-DRB3	1	1	1		1	1	assembly_or_reference	
HG00280#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00280#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00290#1	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00290#1	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00290#1	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00290#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00290#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00290#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00290#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00290#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00290#1	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00290#1	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00290#1	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00290#2	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00290#2	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00290#2	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00290#2	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00290#2	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00290#2	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00290#2	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00290#2	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00290#2	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00290#2	HLA-DRB4	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00290#2	HLA-DRB5	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
HG00320#1	HLA-A	1	1	1		1	1	assembly_or_reference	
