hap_id	gene	retained_donor	annotated_sequence_copies	typing_common_methods_eligible	typing_exclusion_reasons	strict_structural_screen_eligible	all_classical_matched_comparison_eligible	source_type	panel_flags
GRCh38#0	HLA-A	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-B	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-C	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-DRB1	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-DQA1	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-DQB1	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-DPA1	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-DPB1	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-DRB3	0	0	0	reference_or_duplicate_source;no_gene_sequence_annotation_not_proven_absence	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-DRB4	0	0	0	reference_or_duplicate_source;no_gene_sequence_annotation_not_proven_absence	0	0	assembly_or_reference	reference_not_independent_donor
GRCh38#0	HLA-DRB5	0	1	0	reference_or_duplicate_source	0	0	assembly_or_reference	reference_not_independent_donor
HG00097#1	HLA-A	1	1	1		1	1	assembly_or_reference	
HG00097#1	HLA-B	1	1	1		1	1	assembly_or_reference	
HG00097#1	HLA-C	1	1	1		1	1	assembly_or_reference	
HG00097#1	HLA-DRB1	1	1	1		1	1	assembly_or_reference	
HG00097#1	HLA-DQA1	1	1	1		1	1	assembly_or_reference	
HG00097#1	HLA-DQB1	1	1	1		1	1	assembly_or_reference	
HG00097#1	HLA-DPA1	1	1	1		1	1	assembly_or_reference	
HG00097#1	HLA-DPB1	1	1	1		1	1	assembly_or_reference	
HG00097#1	HLA-DRB3	1	0	0	no_gene_sequence_annotation_not_proven_absence	1	1	assembly_or_reference	
