gene	method	split	cohort	rarity	n	called	correct	accuracy_all	call_rate	accuracy_called	majority_accuracy
HLA-C	gene_sequence	leave_family_out	JaSaPaGe-Japanese	ALL	10	9	9	0.9	0.9	1.0	0.0
HLA-C	gene_sequence	leave_family_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.16666666666666666
HLA-C	gene_sequence	leave_family_out	KPanRef-Korean	ALL	28	26	26	0.9285714285714286	0.9285714285714286	1.0	0.0
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	ALL	ALL	735	532	239	0.3251700680272109	0.7238095238095238	0.4492481203007519	0.5047619047619047
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	ALL	more_than_5_donors	690	491	237	0.34347826086956523	0.7115942028985507	0.48268839103869654	0.5376811594202898
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	ALL	rare_1_to_5_donors	41	37	2	0.04878048780487805	0.9024390243902439	0.05405405405405406	0.0
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	ALL	unseen	4	4	0	0.0	1.0	0.0	0.0
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	APR	ALL	105	68	33	0.3142857142857143	0.6476190476190476	0.4852941176470588	0.6
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	CPC-Chinese	ALL	115	73	36	0.3130434782608696	0.6347826086956522	0.4931506849315068	0.4782608695652174
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	HPRC-EastAsian	ALL	70	55	30	0.42857142857142855	0.7857142857142857	0.5454545454545454	0.24285714285714285
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	HPRC-Japanese	ALL	32	15	8	0.25	0.46875	0.5333333333333333	0.375
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	HPRC-Rest	ALL	356	284	106	0.29775280898876405	0.797752808988764	0.3732394366197183	0.5365168539325843
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	4	4	0.4	0.4	1.0	0.2
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	15	10	0.5555555555555556	0.8333333333333334	0.6666666666666666	0.9444444444444444
HLA-DPA1	classII_bundles_fixed_panel	leave_cohort_out	KPanRef-Korean	ALL	27	16	10	0.37037037037037035	0.5925925925925926	0.625	0.4444444444444444
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	ALL	ALL	735	460	229	0.3115646258503401	0.6258503401360545	0.49782608695652175	0.5047619047619047
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	ALL	more_than_5_donors	715	442	227	0.3174825174825175	0.6181818181818182	0.5135746606334841	0.5188811188811189
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	ALL	rare_1_to_5_donors	19	17	2	0.10526315789473684	0.8947368421052632	0.11764705882352941	0.0
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	ALL	unseen	1	1	0	0.0	1.0	0.0	0.0
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	APR	ALL	105	68	35	0.3333333333333333	0.6476190476190476	0.5147058823529411	0.6
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	CPC-Chinese	ALL	115	80	32	0.2782608695652174	0.6956521739130435	0.4	0.4782608695652174
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	HPRC-EastAsian	ALL	70	42	25	0.35714285714285715	0.6	0.5952380952380952	0.24285714285714285
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	HPRC-Japanese	ALL	32	15	8	0.25	0.46875	0.5333333333333333	0.375
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	HPRC-Rest	ALL	356	218	103	0.2893258426966292	0.6123595505617978	0.4724770642201835	0.5365168539325843
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	JaSaPaGe-Japanese	ALL	10	4	4	0.4	0.4	1.0	0.2
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	JaSaPaGe-Saudi	ALL	18	15	10	0.5555555555555556	0.8333333333333334	0.6666666666666666	0.9444444444444444
HLA-DPA1	classII_bundles_fixed_panel	leave_family_out	KPanRef-Korean	ALL	27	16	10	0.37037037037037035	0.5925925925925926	0.625	0.4444444444444444
HLA-DPA1	coding_sequence	leave_cohort_out	ALL	ALL	735	735	731	0.9945578231292517	1.0	0.9945578231292517	0.5047619047619047
HLA-DPA1	coding_sequence	leave_cohort_out	ALL	more_than_5_donors	690	690	690	1.0	1.0	1.0	0.5376811594202898
HLA-DPA1	coding_sequence	leave_cohort_out	ALL	rare_1_to_5_donors	41	41	41	1.0	1.0	1.0	0.0
HLA-DPA1	coding_sequence	leave_cohort_out	ALL	unseen	4	4	0	0.0	1.0	0.0	0.0
HLA-DPA1	coding_sequence	leave_cohort_out	APR	ALL	105	105	104	0.9904761904761905	1.0	0.9904761904761905	0.6
HLA-DPA1	coding_sequence	leave_cohort_out	CPC-Chinese	ALL	115	115	115	1.0	1.0	1.0	0.4782608695652174
HLA-DPA1	coding_sequence	leave_cohort_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.24285714285714285
HLA-DPA1	coding_sequence	leave_cohort_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.375
HLA-DPA1	coding_sequence	leave_cohort_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	coding_sequence	leave_cohort_out	HPRC-Rest	ALL	356	356	353	0.9915730337078652	1.0	0.9915730337078652	0.5365168539325843
HLA-DPA1	coding_sequence	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.2
HLA-DPA1	coding_sequence	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.9444444444444444
HLA-DPA1	coding_sequence	leave_cohort_out	KPanRef-Korean	ALL	27	27	27	1.0	1.0	1.0	0.4444444444444444
HLA-DPA1	coding_sequence	leave_family_out	ALL	ALL	735	735	734	0.998639455782313	1.0	0.998639455782313	0.5047619047619047
HLA-DPA1	coding_sequence	leave_family_out	ALL	more_than_5_donors	715	715	715	1.0	1.0	1.0	0.5188811188811189
HLA-DPA1	coding_sequence	leave_family_out	ALL	rare_1_to_5_donors	19	19	19	1.0	1.0	1.0	0.0
HLA-DPA1	coding_sequence	leave_family_out	ALL	unseen	1	1	0	0.0	1.0	0.0	0.0
HLA-DPA1	coding_sequence	leave_family_out	APR	ALL	105	105	104	0.9904761904761905	1.0	0.9904761904761905	0.6
HLA-DPA1	coding_sequence	leave_family_out	CPC-Chinese	ALL	115	115	115	1.0	1.0	1.0	0.4782608695652174
HLA-DPA1	coding_sequence	leave_family_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.24285714285714285
HLA-DPA1	coding_sequence	leave_family_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.375
HLA-DPA1	coding_sequence	leave_family_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	coding_sequence	leave_family_out	HPRC-Rest	ALL	356	356	356	1.0	1.0	1.0	0.5365168539325843
HLA-DPA1	coding_sequence	leave_family_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.2
HLA-DPA1	coding_sequence	leave_family_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.9444444444444444
HLA-DPA1	coding_sequence	leave_family_out	KPanRef-Korean	ALL	27	27	27	1.0	1.0	1.0	0.4444444444444444
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	ALL	ALL	735	735	731	0.9945578231292517	1.0	0.9945578231292517	0.5047619047619047
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	ALL	more_than_5_donors	690	690	690	1.0	1.0	1.0	0.5376811594202898
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	ALL	rare_1_to_5_donors	41	41	41	1.0	1.0	1.0	0.0
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	ALL	unseen	4	4	0	0.0	1.0	0.0	0.0
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	APR	ALL	105	105	104	0.9904761904761905	1.0	0.9904761904761905	0.6
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	CPC-Chinese	ALL	115	115	115	1.0	1.0	1.0	0.4782608695652174
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.24285714285714285
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.375
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	HPRC-Rest	ALL	356	356	353	0.9915730337078652	1.0	0.9915730337078652	0.5365168539325843
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.2
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.9444444444444444
HLA-DPA1	coding_sequence_all_31mers	leave_cohort_out	KPanRef-Korean	ALL	27	27	27	1.0	1.0	1.0	0.4444444444444444
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	ALL	ALL	735	735	734	0.998639455782313	1.0	0.998639455782313	0.5047619047619047
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	ALL	more_than_5_donors	715	715	715	1.0	1.0	1.0	0.5188811188811189
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	ALL	rare_1_to_5_donors	19	19	19	1.0	1.0	1.0	0.0
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	ALL	unseen	1	1	0	0.0	1.0	0.0	0.0
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	APR	ALL	105	105	104	0.9904761904761905	1.0	0.9904761904761905	0.6
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	CPC-Chinese	ALL	115	115	115	1.0	1.0	1.0	0.4782608695652174
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.24285714285714285
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.375
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	HPRC-Rest	ALL	356	356	356	1.0	1.0	1.0	0.5365168539325843
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.2
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.9444444444444444
HLA-DPA1	coding_sequence_all_31mers	leave_family_out	KPanRef-Korean	ALL	27	27	27	1.0	1.0	1.0	0.4444444444444444
HLA-DPA1	flanks_only	leave_cohort_out	ALL	ALL	735	735	713	0.9700680272108844	1.0	0.9700680272108844	0.5047619047619047
HLA-DPA1	flanks_only	leave_cohort_out	ALL	more_than_5_donors	690	690	690	1.0	1.0	1.0	0.5376811594202898
HLA-DPA1	flanks_only	leave_cohort_out	ALL	rare_1_to_5_donors	41	41	23	0.5609756097560976	1.0	0.5609756097560976	0.0
HLA-DPA1	flanks_only	leave_cohort_out	ALL	unseen	4	4	0	0.0	1.0	0.0	0.0
HLA-DPA1	flanks_only	leave_cohort_out	APR	ALL	105	105	104	0.9904761904761905	1.0	0.9904761904761905	0.6
HLA-DPA1	flanks_only	leave_cohort_out	CPC-Chinese	ALL	115	115	115	1.0	1.0	1.0	0.4782608695652174
HLA-DPA1	flanks_only	leave_cohort_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.24285714285714285
HLA-DPA1	flanks_only	leave_cohort_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.375
HLA-DPA1	flanks_only	leave_cohort_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	flanks_only	leave_cohort_out	HPRC-Rest	ALL	356	356	335	0.9410112359550562	1.0	0.9410112359550562	0.5365168539325843
HLA-DPA1	flanks_only	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.2
HLA-DPA1	flanks_only	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.9444444444444444
HLA-DPA1	flanks_only	leave_cohort_out	KPanRef-Korean	ALL	27	27	27	1.0	1.0	1.0	0.4444444444444444
HLA-DPA1	flanks_only	leave_family_out	ALL	ALL	735	735	733	0.9972789115646259	1.0	0.9972789115646259	0.5047619047619047
HLA-DPA1	flanks_only	leave_family_out	ALL	more_than_5_donors	715	715	714	0.9986013986013986	1.0	0.9986013986013986	0.5188811188811189
HLA-DPA1	flanks_only	leave_family_out	ALL	rare_1_to_5_donors	19	19	19	1.0	1.0	1.0	0.0
HLA-DPA1	flanks_only	leave_family_out	ALL	unseen	1	1	0	0.0	1.0	0.0	0.0
HLA-DPA1	flanks_only	leave_family_out	APR	ALL	105	105	103	0.9809523809523809	1.0	0.9809523809523809	0.6
HLA-DPA1	flanks_only	leave_family_out	CPC-Chinese	ALL	115	115	115	1.0	1.0	1.0	0.4782608695652174
HLA-DPA1	flanks_only	leave_family_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.24285714285714285
HLA-DPA1	flanks_only	leave_family_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.375
HLA-DPA1	flanks_only	leave_family_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	flanks_only	leave_family_out	HPRC-Rest	ALL	356	356	356	1.0	1.0	1.0	0.5365168539325843
HLA-DPA1	flanks_only	leave_family_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.2
HLA-DPA1	flanks_only	leave_family_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.9444444444444444
HLA-DPA1	flanks_only	leave_family_out	KPanRef-Korean	ALL	27	27	27	1.0	1.0	1.0	0.4444444444444444
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	ALL	ALL	735	291	290	0.3945578231292517	0.39591836734693875	0.9965635738831615	0.5047619047619047
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	ALL	more_than_5_donors	690	286	286	0.4144927536231884	0.4144927536231884	1.0	0.5376811594202898
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	ALL	rare_1_to_5_donors	41	4	4	0.0975609756097561	0.0975609756097561	1.0	0.0
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	ALL	unseen	4	1	0	0.0	0.25	0.0	0.0
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	APR	ALL	105	34	33	0.3142857142857143	0.3238095238095238	0.9705882352941176	0.6
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	CPC-Chinese	ALL	115	58	58	0.5043478260869565	0.5043478260869565	1.0	0.4782608695652174
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	HPRC-EastAsian	ALL	70	49	49	0.7	0.7	1.0	0.24285714285714285
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	HPRC-Japanese	ALL	32	20	20	0.625	0.625	1.0	0.375
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	HPRC-Jewish	ALL	2	0	0	0.0	0.0		1.0
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	HPRC-Rest	ALL	356	107	107	0.300561797752809	0.300561797752809	1.0	0.5365168539325843
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	8	8	0.8	0.8	1.0	0.2
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	0	0	0.0	0.0		0.9444444444444444
HLA-DPA1	gene_bundles_fixed_panel	leave_cohort_out	KPanRef-Korean	ALL	27	15	15	0.5555555555555556	0.5555555555555556	1.0	0.4444444444444444
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	ALL	ALL	735	312	310	0.4217687074829932	0.42448979591836733	0.9935897435897436	0.5047619047619047
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	ALL	more_than_5_donors	715	308	307	0.42937062937062936	0.4307692307692308	0.9967532467532467	0.5188811188811189
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	ALL	rare_1_to_5_donors	19	3	3	0.15789473684210525	0.15789473684210525	1.0	0.0
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	ALL	unseen	1	1	0	0.0	1.0	0.0	0.0
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	APR	ALL	105	34	32	0.3047619047619048	0.3238095238095238	0.9411764705882353	0.6
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	CPC-Chinese	ALL	115	58	58	0.5043478260869565	0.5043478260869565	1.0	0.4782608695652174
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	HPRC-EastAsian	ALL	70	49	49	0.7	0.7	1.0	0.24285714285714285
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	HPRC-Japanese	ALL	32	20	20	0.625	0.625	1.0	0.375
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	HPRC-Jewish	ALL	2	0	0	0.0	0.0		1.0
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	HPRC-Rest	ALL	356	128	128	0.3595505617977528	0.3595505617977528	1.0	0.5365168539325843
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	JaSaPaGe-Japanese	ALL	10	8	8	0.8	0.8	1.0	0.2
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	JaSaPaGe-Saudi	ALL	18	0	0	0.0	0.0		0.9444444444444444
HLA-DPA1	gene_bundles_fixed_panel	leave_family_out	KPanRef-Korean	ALL	27	15	15	0.5555555555555556	0.5555555555555556	1.0	0.4444444444444444
HLA-DPA1	gene_content	leave_cohort_out	ALL	ALL	735	104	45	0.061224489795918366	0.1414965986394558	0.4326923076923077	0.5047619047619047
HLA-DPA1	gene_content	leave_cohort_out	ALL	more_than_5_donors	690	99	43	0.06231884057971015	0.14347826086956522	0.43434343434343436	0.5376811594202898
HLA-DPA1	gene_content	leave_cohort_out	ALL	rare_1_to_5_donors	41	5	2	0.04878048780487805	0.12195121951219512	0.4	0.0
HLA-DPA1	gene_content	leave_cohort_out	ALL	unseen	4	0	0	0.0	0.0		0.0
HLA-DPA1	gene_content	leave_cohort_out	APR	ALL	105	6	4	0.0380952380952381	0.05714285714285714	0.6666666666666666	0.6
HLA-DPA1	gene_content	leave_cohort_out	CPC-Chinese	ALL	115	17	5	0.043478260869565216	0.14782608695652175	0.29411764705882354	0.4782608695652174
HLA-DPA1	gene_content	leave_cohort_out	HPRC-EastAsian	ALL	70	7	3	0.04285714285714286	0.1	0.42857142857142855	0.24285714285714285
HLA-DPA1	gene_content	leave_cohort_out	HPRC-Japanese	ALL	32	8	1	0.03125	0.25	0.125	0.375
HLA-DPA1	gene_content	leave_cohort_out	HPRC-Jewish	ALL	2	0	0	0.0	0.0		1.0
HLA-DPA1	gene_content	leave_cohort_out	HPRC-Rest	ALL	356	57	26	0.07303370786516854	0.1601123595505618	0.45614035087719296	0.5365168539325843
HLA-DPA1	gene_content	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	1	1	0.1	0.1	1.0	0.2
HLA-DPA1	gene_content	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	5	2	0.1111111111111111	0.2777777777777778	0.4	0.9444444444444444
HLA-DPA1	gene_content	leave_cohort_out	KPanRef-Korean	ALL	27	3	3	0.1111111111111111	0.1111111111111111	1.0	0.4444444444444444
HLA-DPA1	gene_content	leave_family_out	ALL	ALL	735	76	38	0.05170068027210884	0.10340136054421768	0.5	0.5047619047619047
HLA-DPA1	gene_content	leave_family_out	ALL	more_than_5_donors	715	74	36	0.05034965034965035	0.1034965034965035	0.4864864864864865	0.5188811188811189
HLA-DPA1	gene_content	leave_family_out	ALL	rare_1_to_5_donors	19	2	2	0.10526315789473684	0.10526315789473684	1.0	0.0
HLA-DPA1	gene_content	leave_family_out	ALL	unseen	1	0	0	0.0	0.0		0.0
HLA-DPA1	gene_content	leave_family_out	APR	ALL	105	10	8	0.0761904761904762	0.09523809523809523	0.8	0.6
HLA-DPA1	gene_content	leave_family_out	CPC-Chinese	ALL	115	11	4	0.034782608695652174	0.09565217391304348	0.36363636363636365	0.4782608695652174
HLA-DPA1	gene_content	leave_family_out	HPRC-EastAsian	ALL	70	6	2	0.02857142857142857	0.08571428571428572	0.3333333333333333	0.24285714285714285
HLA-DPA1	gene_content	leave_family_out	HPRC-Japanese	ALL	32	8	1	0.03125	0.25	0.125	0.375
HLA-DPA1	gene_content	leave_family_out	HPRC-Jewish	ALL	2	0	0	0.0	0.0		1.0
HLA-DPA1	gene_content	leave_family_out	HPRC-Rest	ALL	356	32	17	0.047752808988764044	0.0898876404494382	0.53125	0.5365168539325843
HLA-DPA1	gene_content	leave_family_out	JaSaPaGe-Japanese	ALL	10	1	1	0.1	0.1	1.0	0.2
HLA-DPA1	gene_content	leave_family_out	JaSaPaGe-Saudi	ALL	18	5	2	0.1111111111111111	0.2777777777777778	0.4	0.9444444444444444
HLA-DPA1	gene_content	leave_family_out	KPanRef-Korean	ALL	27	3	3	0.1111111111111111	0.1111111111111111	1.0	0.4444444444444444
HLA-DPA1	gene_sequence	leave_cohort_out	ALL	ALL	735	735	713	0.9700680272108844	1.0	0.9700680272108844	0.5047619047619047
HLA-DPA1	gene_sequence	leave_cohort_out	ALL	more_than_5_donors	690	690	690	1.0	1.0	1.0	0.5376811594202898
HLA-DPA1	gene_sequence	leave_cohort_out	ALL	rare_1_to_5_donors	41	41	23	0.5609756097560976	1.0	0.5609756097560976	0.0
HLA-DPA1	gene_sequence	leave_cohort_out	ALL	unseen	4	4	0	0.0	1.0	0.0	0.0
HLA-DPA1	gene_sequence	leave_cohort_out	APR	ALL	105	105	104	0.9904761904761905	1.0	0.9904761904761905	0.6
HLA-DPA1	gene_sequence	leave_cohort_out	CPC-Chinese	ALL	115	115	115	1.0	1.0	1.0	0.4782608695652174
HLA-DPA1	gene_sequence	leave_cohort_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.24285714285714285
HLA-DPA1	gene_sequence	leave_cohort_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.375
HLA-DPA1	gene_sequence	leave_cohort_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	gene_sequence	leave_cohort_out	HPRC-Rest	ALL	356	356	335	0.9410112359550562	1.0	0.9410112359550562	0.5365168539325843
HLA-DPA1	gene_sequence	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.2
HLA-DPA1	gene_sequence	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.9444444444444444
HLA-DPA1	gene_sequence	leave_cohort_out	KPanRef-Korean	ALL	27	27	27	1.0	1.0	1.0	0.4444444444444444
HLA-DPA1	gene_sequence	leave_family_out	ALL	ALL	735	735	733	0.9972789115646259	1.0	0.9972789115646259	0.5047619047619047
HLA-DPA1	gene_sequence	leave_family_out	ALL	more_than_5_donors	715	715	714	0.9986013986013986	1.0	0.9986013986013986	0.5188811188811189
HLA-DPA1	gene_sequence	leave_family_out	ALL	rare_1_to_5_donors	19	19	19	1.0	1.0	1.0	0.0
HLA-DPA1	gene_sequence	leave_family_out	ALL	unseen	1	1	0	0.0	1.0	0.0	0.0
HLA-DPA1	gene_sequence	leave_family_out	APR	ALL	105	105	103	0.9809523809523809	1.0	0.9809523809523809	0.6
HLA-DPA1	gene_sequence	leave_family_out	CPC-Chinese	ALL	115	115	115	1.0	1.0	1.0	0.4782608695652174
HLA-DPA1	gene_sequence	leave_family_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.24285714285714285
HLA-DPA1	gene_sequence	leave_family_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.375
HLA-DPA1	gene_sequence	leave_family_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	1.0
HLA-DPA1	gene_sequence	leave_family_out	HPRC-Rest	ALL	356	356	356	1.0	1.0	1.0	0.5365168539325843
HLA-DPA1	gene_sequence	leave_family_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.2
HLA-DPA1	gene_sequence	leave_family_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.9444444444444444
HLA-DPA1	gene_sequence	leave_family_out	KPanRef-Korean	ALL	27	27	27	1.0	1.0	1.0	0.4444444444444444
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	ALL	ALL	738	490	103	0.13956639566395665	0.6639566395663956	0.21020408163265306	0.09349593495934959
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	ALL	more_than_5_donors	574	353	82	0.14285714285714285	0.6149825783972126	0.23229461756373937	0.12020905923344948
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	ALL	rare_1_to_5_donors	115	101	21	0.1826086956521739	0.8782608695652174	0.2079207920792079	0.0
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	ALL	unseen	49	36	0	0.0	0.7346938775510204	0.0	0.0
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	APR	ALL	105	60	10	0.09523809523809523	0.5714285714285714	0.16666666666666666	0.19047619047619047
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	CPC-Chinese	ALL	115	60	16	0.1391304347826087	0.5217391304347826	0.26666666666666666	0.13043478260869565
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	HPRC-EastAsian	ALL	70	42	13	0.18571428571428572	0.6	0.30952380952380953	0.12857142857142856
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	HPRC-Japanese	ALL	32	16	7	0.21875	0.5	0.4375	0.0625
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	HPRC-Jewish	ALL	2	2	0	0.0	1.0	0.0	0.0
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	HPRC-Rest	ALL	359	279	48	0.13370473537604458	0.7771587743732591	0.17204301075268819	0.011142061281337047
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	4	1	0.1	0.4	0.25	0.4
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	15	2	0.1111111111111111	0.8333333333333334	0.13333333333333333	0.3888888888888889
HLA-DPB1	classII_bundles_fixed_panel	leave_cohort_out	KPanRef-Korean	ALL	27	12	6	0.2222222222222222	0.4444444444444444	0.5	0.2962962962962963
HLA-DPB1	classII_bundles_fixed_panel	leave_family_out	ALL	ALL	738	391	99	0.13414634146341464	0.5298102981029811	0.2531969309462916	0.17615176151761516
HLA-DPB1	classII_bundles_fixed_panel	leave_family_out	ALL	more_than_5_donors	671	350	96	0.14307004470938897	0.5216095380029806	0.2742857142857143	0.19374068554396423
