gene	method	split	cohort	rarity	n	called	correct	accuracy_all	call_rate	accuracy_called	majority_accuracy
HLA-C	coding_sequence_all_31mers	leave_family_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.0
HLA-C	coding_sequence_all_31mers	leave_family_out	JaSaPaGe-Saudi	ALL	18	18	18	1.0	1.0	1.0	0.16666666666666666
HLA-C	coding_sequence_all_31mers	leave_family_out	KPanRef-Korean	ALL	28	28	28	1.0	1.0	1.0	0.0
HLA-C	flanks_only	leave_cohort_out	ALL	ALL	739	583	532	0.7198917456021651	0.7889039242219216	0.9125214408233276	0.08525033829499323
HLA-C	flanks_only	leave_cohort_out	ALL	more_than_5_donors	561	480	468	0.8342245989304813	0.8556149732620321	0.975	0.11229946524064172
HLA-C	flanks_only	leave_cohort_out	ALL	rare_1_to_5_donors	143	78	64	0.44755244755244755	0.5454545454545454	0.8205128205128205	0.0
HLA-C	flanks_only	leave_cohort_out	ALL	unseen	35	25	0	0.0	0.7142857142857143	0.0	0.0
HLA-C	flanks_only	leave_cohort_out	APR	ALL	105	96	90	0.8571428571428571	0.9142857142857143	0.9375	0.12380952380952381
HLA-C	flanks_only	leave_cohort_out	CPC-Chinese	ALL	115	90	89	0.7739130434782608	0.782608695652174	0.9888888888888889	0.06086956521739131
HLA-C	flanks_only	leave_cohort_out	HPRC-EastAsian	ALL	69	56	55	0.7971014492753623	0.8115942028985508	0.9821428571428571	0.08695652173913043
HLA-C	flanks_only	leave_cohort_out	HPRC-Japanese	ALL	32	27	25	0.78125	0.84375	0.9259259259259259	0.03125
HLA-C	flanks_only	leave_cohort_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	0.5
HLA-C	flanks_only	leave_cohort_out	HPRC-Rest	ALL	360	269	228	0.6333333333333333	0.7472222222222222	0.8475836431226765	0.08888888888888889
HLA-C	flanks_only	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	6	6	0.6	0.6	1.0	0.0
HLA-C	flanks_only	leave_cohort_out	JaSaPaGe-Saudi	ALL	18	16	16	0.8888888888888888	0.8888888888888888	1.0	0.16666666666666666
HLA-C	flanks_only	leave_cohort_out	KPanRef-Korean	ALL	28	21	21	0.75	0.75	1.0	0.0
HLA-C	flanks_only	leave_family_out	ALL	ALL	739	619	602	0.8146143437077131	0.8376184032476319	0.9725363489499192	0.11772665764546685
HLA-C	flanks_only	leave_family_out	ALL	more_than_5_donors	690	581	572	0.8289855072463768	0.8420289855072464	0.9845094664371773	0.12608695652173912
HLA-C	flanks_only	leave_family_out	ALL	rare_1_to_5_donors	42	33	30	0.7142857142857143	0.7857142857142857	0.9090909090909091	0.0
HLA-C	flanks_only	leave_family_out	ALL	unseen	7	5	0	0.0	0.7142857142857143	0.0	0.0
HLA-C	flanks_only	leave_family_out	APR	ALL	105	96	92	0.8761904761904762	0.9142857142857143	0.9583333333333334	0.12380952380952381
HLA-C	flanks_only	leave_family_out	CPC-Chinese	ALL	115	93	92	0.8	0.808695652173913	0.989247311827957	0.06086956521739131
HLA-C	flanks_only	leave_family_out	HPRC-EastAsian	ALL	69	56	55	0.7971014492753623	0.8115942028985508	0.9821428571428571	0.08695652173913043
